"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"SPEC-11","P1","3","backend","实现 Scrum 执行(Sprint/Backlog/Task/看板/燃尽)","Sprint 与 Backlog、Task(estimateHours/状态/看板列)、燃尽所需数据的后端能力。","WHEN 在 Sprint 下建 Task 并流转看板列 THEN 状态与列一致; WHEN 查询燃尽数据 THEN 按 Sprint 返回剩余估算随时间变化; WHEN 跨租户访问 Task THEN 越权被拒; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167","AUTOSERVER","","","确认 Task 状态机与看板列映射清晰、估算工时字段就位(供工时与成本)。","确认 Sprint 与 Task 变更触发工时汇总所需事件。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167; apps/api/src/modules/projects/sprint.service.ts:1","picked_reason:执行形态为Scrum,Task估算是工时与成本输入"
"SPEC-12","P1","4","backend","实现资源画像(员工/技能/成本单价/产能)","Employee(成本单价)、Skill、EmployeeSkill、Capacity(标准产能),支持按技能检索可用人。","WHEN 维护员工技能与成本单价 THEN 可按技能筛选员工; WHEN 设定标准产能 THEN 作为可用产能基线; WHEN 非授权角色读取成本单价 THEN 字段脱敏; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167","AUTOSERVER","","","确认成本单价受字段级权限保护、技能模型可扩展。","确认成本单价变更对后续成本计算口径一致。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167; apps/api/src/modules/resourcing/employee.service.ts:1","picked_reason:成本单价与产能是排期与成本的根基"
"SPEC-13","P1","4","backend","实现人乘小时排期与产能利用率","ResourceAllocation(某人某时段 N 小时计划工时),计算产能利用率(计划 vs 可用产能)。","WHEN 给成员排期超过其可用产能 THEN 标记过载; WHEN 查询某周产能利用率 THEN 返回计划与可用的比值; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:183","AUTOSERVER","","","确认排期粒度为人乘小时、与产能基线口径一致。","确认请假(P2)接入后可用产能扣减的扩展点已预留。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:183; apps/api/src/modules/resourcing/allocation.service.ts:1","picked_reason:计划工时线,喂产能利用率与预算"
"SPEC-14","P1","4","backend","实现实际工时自动汇总与校正","TimeEntry 归属 Task 与员工,由任务状态或进度自动生成或更新实际工时,支持成员或 PM 一键校正。","WHEN Task 状态推进或完成 THEN 系统自动生成或更新对应 TimeEntry; WHEN 成员校正实际工时 THEN 以校正值为准并留痕; WHEN TimeEntry 变更 THEN 发布 TimeEntryChanged 事件; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:183","AUTOSERVER","","","确认自动派生规则明确、校正可覆盖自动值且审计。","确认事件正确驱动成本重算、不重复计数。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:183; apps/api/src/modules/timesheets/time-entry.service.ts:1","risk:medium 自动派生口径需与业务对齐; picked_reason:实际工时是成本与盈亏输入"
"SPEC-15","P1","5","backend","实现统一成本归集(CostEntry)","CostEntry 统一容纳四类成本;MVP 落地人力成本(监听 TimeEntryChanged,按成本单价生成或更新),挂到项目(可细到 Task)。","WHEN TimeEntry 变更 THEN 生成或更新 type=labor 的 CostEntry 等于工时乘成本单价; WHEN 汇总项目成本 THEN 按 type 正确滚动求和; WHEN 成本单价变更 THEN 后续计算采用新单价且历史可追溯; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:187","AUTOSERVER","","","确认人力成本由事件驱动、金额 Decimal、四类成本模型可扩展。","确认无重复归集、事务与事件一致。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:187; apps/api/src/modules/costing/cost-entry.service.ts:1","picked_reason:统一成本模型,MVP先落人力成本"
"SPEC-16","P1","5","backend","实现项目预算与实时盈亏","Budget(项目预算)、实时盈亏等于已确认收入减去成本之和(读时计算),PnLSnapshot 定时刷新加速看板,超预算预警(经消息通知)。","WHEN 查询项目盈亏 THEN 返回收入减成本的实时结果; WHEN 实际成本超预算 THEN 触发预警通知; WHEN 看板读取盈亏 THEN 使用 PnLSnapshot 且定时任务能刷新; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:190","AUTOSERVER","","","确认盈亏口径(计费费率不等于成本单价)、快照与读时一致。","确认成本或收入变化后盈亏与预警随之更新。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:190; apps/api/src/modules/costing/pnl.service.ts:1","picked_reason:实时盈亏是MVP最终价值出口"
"SPEC-17","P1","6","backend","实现文件存储抽象与本地磁盘及附件","存储抽象接口(默认本地磁盘实现,预留对象存储)、Attachment 多态挂载到任意实体(项目/任务等)。","WHEN 上传附件到某实体 THEN 经抽象接口落本地磁盘且记录 Attachment; WHEN 下载附件 THEN 受租户与权限校验; WHEN 切换存储实现 THEN 业务代码无需改动(接口不变); ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167","AUTOSERVER","","","确认抽象接口边界干净、可无缝切对象存储、上传受权限与租户约束。","确认附件删除与孤儿处理策略一致。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167; apps/api/src/platform/storage/storage.service.ts:1","picked_reason:合同/交付物/知识库均需附件,先本地加抽象"
"SPEC-18","P1","6","frontend","搭建前端基座(壳/路由/认证态/API client)","React+Vite+Tailwind+shadcn/ui 应用壳、路由、认证态与 token 刷新、由 OpenAPI 生成的类型化 API client,确立极简现代基调。","WHEN 未登录访问受保护路由 THEN 跳转登录; WHEN 登录成功 THEN 进入主框架且 API client 携带令牌; WHEN 令牌过期 THEN 自动刷新或引导重登; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:95","AUTOFRONTEND","ui-ux-pro-max","chrome-devtools","确认极简现代视觉基调、shell 布局与导航清晰、错误边界统一。","确认后续页面复用基座、无重复认证或请求逻辑。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:95; apps/web/src/main.tsx:1","picked_reason:所有页面依赖前端基座与API client"
"SPEC-19","P2","6","frontend","实现核心业务页面(项目/看板/工时/排期)","项目列表与详情、Scrum 看板(拖拽)、工时校正、资源排期视图,对接后端 API。","WHEN 在看板拖拽 Task 改状态 THEN 后端状态同步且乐观更新; WHEN 校正某 Task 实际工时 THEN 保存并反映到成本相关视图; WHEN 排期分配超产能 THEN 前端提示过载; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:40","AUTOFRONTEND","ui-ux-pro-max","chrome-devtools;playwright","确认信息密度与极简现代平衡、拖拽与校正交互顺畅、加载与错误态完整。","确认页面与后端契约一致、跨页状态无泄漏。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:40; apps/web/src/pages/projects/ProjectBoard.tsx:1","picked_reason:核心操作界面,承载项目/工时/排期"
"SPEC-20","P2","6","frontend","实现实时盈亏经营看板","项目盈亏、产能利用率、预算 vs 实际的可视化看板(图表),对接 PnL 与产能 API。","WHEN 打开看板 THEN 展示项目实时盈亏与产能利用率图表; WHEN 成本或收入数据更新 THEN 看板随刷新反映; WHEN 超预算 THEN 看板呈现预警标识; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:190","AUTOFRONTEND","ui-ux-pro-max","chrome-devtools;playwright","确认图表准确表达盈亏与产能、极简现代、敏感数据受权限控制。","确认看板数值与后端 PnL 口径一致。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:190; apps/web/src/pages/dashboard/PnLDashboard.tsx:1","picked_reason:实时盈亏是MVP价值可视化出口"
"SPEC-21","P2","6","backend","提供演示数据种子","可重复执行的示例租户与端到端演示数据(客户/项目/Sprint/Task/工时/成本),供销售演示与新客户体验。","WHEN 执行种子脚本 THEN 生成一个可登录的示例租户及完整主线演示数据; WHEN 重复执行 THEN 幂等不产生脏数据; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:40","MIGRATION","","","确认演示数据覆盖主线且真实可跑(非空壳)、种子幂等。","确认种子随 schema 演进保持可用。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:40; prisma/seed.ts:1","picked_reason:对外SaaS的演示与试用体验"
"SPEC-22","P1","7","both","打通并验证核心主线 E2E(立项到实时盈亏)","Playwright 端到端覆盖 MVP 主线:手工立项→Scrum 建 Task→排期→任务推进自动汇总工时→查看项目实时盈亏。","WHEN 端到端跑主线 THEN 从立项到盈亏看板全链路通过且数值自洽; WHEN 跨租户尝试访问他人项目 THEN 被拒; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:266","AUTOE2E","","playwright","确认 E2E 真正驱动 UI 与真实后端(非 mock)、覆盖主线关键跃迁。","确认主线回归稳定、盈亏数值与成本及工时一致。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:266; apps/web/e2e/mainline.spec.ts:1","picked_reason:MVP端到端价值验收主线"
"SPEC-23","P1","7","infra","准备阿里云 ECS 生产部署配置","生产 Docker Compose(app+PG+Redis)、nginx 反代加 HTTPS、.env 注入(密钥不硬编码)、pg_dump 备份、健康检查;产出部署文档。含 ICP 备案提示。","WHEN 按文档在单台 ECS 起服务 THEN 经 nginx HTTPS 可访问且健康检查通过; WHEN 触发备份任务 THEN 生成 pg_dump 备份文件; WHEN 检查配置 THEN 无明文密钥入库; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:272","MANUAL","","","确认配置可复现、密钥不硬编码、HTTPS 与备份到位、ICP 备案提示明确。","确认部署文档与 compose 一致、抽象层便于切 RDS 与 OSS。","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:272; deploy/docker-compose.prod.yml:1","manual_test:在阿里云ECS按部署文档实测; validation_limited:实际ECS环境需用户侧执行; picked_reason:用户要求先部署到阿里云ECS试用"
